time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Wed Feb 10 18:46:30 2016|1.16300010681|0|1|0|0|0|0|0|
Wed Feb 10 18:48:31 2016|0.99799990654|0|1|0|0|0|0|0|
Wed Feb 10 18:50:32 2016|1.17499995232|0|1|0|0|0|0|0|
Wed Feb 10 18:52:33 2016|1.18000006676|0|1|0|0|0|0|0|
Wed Feb 10 18:54:35 2016|1.2009999752|0|1|0|0|0|0|0|
Wed Feb 10 18:56:36 2016|1.1970000267|0|1|0|0|0|0|0|
Wed Feb 10 18:58:37 2016|1.15599989891|0|1|0|0|0|0|0|
Wed Feb 10 19:00:38 2016|1.27799987793|0|1|0|0|0|0|0|
Wed Feb 10 19:02:40 2016|1.18799996376|0|1|0|0|0|0|0|
Wed Feb 10 19:04:41 2016|1.16900014877|0|1|0|0|0|0|0|
Wed Feb 10 19:06:42 2016|1.15100002289|0|1|0|0|0|0|0|
Wed Feb 10 19:08:43 2016|1.17999982834|0|1|0|0|0|0|0|
Wed Feb 10 19:10:44 2016|1.16000008583|0|1|0|0|0|0|0|
Wed Feb 10 19:12:46 2016|1.15499997139|0|1|0|0|0|0|0|
Wed Feb 10 19:14:47 2016|1.21100020409|0|1|0|0|0|0|0|
Wed Feb 10 19:16:48 2016|1.26999998093|0|1|0|0|0|0|0|
Wed Feb 10 19:18:49 2016|1.15200018883|0|1|0|0|0|0|0|
Wed Feb 10 19:20:50 2016|1.14399981499|0|1|0|0|0|0|0|
Wed Feb 10 19:22:52 2016|1.18499994278|0|1|0|0|0|0|0|
Wed Feb 10 19:24:53 2016|1.05999994278|0|1|0|0|0|0|0|
Wed Feb 10 19:26:54 2016|1.46000003815|0|1|0|0|0|0|0|
Wed Feb 10 19:28:55 2016|1.14899992943|0|1|0|0|0|0|0|
Wed Feb 10 19:30:57 2016|1.19000005722|0|1|0|0|0|0|0|
Wed Feb 10 19:32:58 2016|0.992000102997|0|1|0|0|0|0|0|
Wed Feb 10 19:34:59 2016|1.23000001907|0|1|0|0|0|0|0|
Wed Feb 10 19:37:00 2016|1.19599986076|0|1|0|0|0|0|0|
Wed Feb 10 19:39:01 2016|1.19200015068|0|1|0|0|0|0|0|
Wed Feb 10 19:41:02 2016|1.16599988937|0|1|0|0|0|0|0|
Wed Feb 10 19:43:04 2016|1.22500014305|0|1|0|0|0|0|0|
Wed Feb 10 19:45:05 2016|1.16499996185|0|1|0|0|0|0|0|
Wed Feb 10 19:47:06 2016|1.17100000381|0|1|0|0|0|0|0|
Wed Feb 10 19:49:07 2016|1.20399999619|0|1|0|0|0|0|0|
Wed Feb 10 19:51:08 2016|1.09700012207|0|1|0|0|0|0|0|
Wed Feb 10 19:53:10 2016|1.20499992371|0|1|0|0|0|0|0|
Wed Feb 10 19:55:11 2016|1.15200018883|0|1|0|0|0|0|0|
Wed Feb 10 19:57:12 2016|1.06999993324|0|1|0|0|0|0|0|
Wed Feb 10 19:59:13 2016|1.17700004578|0|1|0|0|0|0|0|
Wed Feb 10 20:01:14 2016|1.25600004196|0|1|0|0|0|0|0|
